"구분별(1)",구분별(2),2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05,2020. 06,2020. 06,2020. 06,2020. 06,2020. 06,2020. 07,2020. 07,2020. 07,2020. 07,2020. 07,2020. 08,2020. 08,2020. 08,2020. 08,2020. 08,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 12,2020. 12,2020. 12,2020. 12,2020. 12
"구분별(1)",구분별(2),발생경로,발생경로,확진,확진,격리중,격리중,격리해제,격리해제,사망,사망,발생경로,발생경로,확진,확진,격리중,격리중,격리해제,격리해제,사망,사망,발생경로,발생경로,확진,확진,격리중,격리중,격리해제,격리해제,사망,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망,발생경로,발생경로,확진,격리해제,사망
"구분별(1)",구분별(2),국내발생,해외유입,신규,누적,증감,누적,신규,누적,신규,누적,국내발생,해외유입,신규,누적,증감,누적,신규,누적,신규,누적,국내발생,해외유입,신규,누적,증감,누적,신규,누적,신규,누적,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규,국내발생,해외유입,신규,신규,신규
"전체",소계,985,35,1020,64264,268,18043,733,45240,19,981,672,43,715,64979,-243,17800,932,46172,26,1007,809,31,840,65818,-4,17796,823,46995,20,1027,174,207,979,3492,82,511,192,703,1346,23,1011,323,1334,1132,12,651,813,1506,1646,19,5218,424,5642,1790,23,3466,399,3865,6618,89,2171,543,2714,2720,51,6899,870,7769,3314,62,25727,842,26568,14646,374
"시도별",서울,324,5,329,20138,125,8224,200,11721,4,193,193,6,199,20338,-185,8039,374,12095,11,204,263,1,264,20602,-73,7966,334,12429,3,207,25,30,183,336,2,204,24,228,174,2,429,23,452,358,3,249,39,288,439,4,2221,46,2267,475,12,1402,22,1424,2517,33,675,44,719,1079,22,2721,81,2802,1039,15,10094,108,10203,3907,84
"시도별",부산,34,3,37,2007,13,502,23,1447,1,58,14,1,15,2022,5,507,8,1455,2,60,38,0,38,2060,-6,501,41,1496,3,63,4,8,18,29,0,5,5,10,22,0,1,6,7,4,0,11,6,17,12,0,126,4,130,57,0,116,4,120,140,1,162,9,171,153,4,204,13,217,96,8,1043,17,1060,743,34
"시도별",대구,29,0,29,7924,-3,362,31,7359,1,203,31,1,32,7956,-1,361,33,7392,0,203,21,1,22,7978,-8,353,30,7422,0,203,41,8,168,2074,57,23,8,31,463,13,14,9,23,93,4,11,23,34,43,2,97,10,107,14,0,73,12,85,159,3,33,9,42,27,2,48,10,58,55,3,562,8,570,278,2
"시도별",인천,101,2,103,3126,71,847,32,2249,0,30,48,1,49,3175,2,849,45,2294,2,32,35,3,38,3213,23,872,14,2308,1,33,3,6,29,49,0,106,7,113,26,0,124,11,135,196,1,22,20,42,76,1,328,7,335,48,1,188,12,200,408,5,121,8,129,164,2,338,27,365,98,1,1409,22,1431,998,16
"시도별",광주,74,0,74,1211,69,315,5,889,0,7,23,0,23,1234,-4,311,27,916,0,7,30,0,30,1264,10,321,20,936,0,7,1,2,10,13,0,0,2,2,3,0,11,1,12,2,0,152,8,160,103,2,151,19,170,102,0,110,11,121,239,1,8,8,16,24,0,169,16,185,68,0,369,16,385,279,3
"시도별",대전,6,0,6,874,0,147,6,720,0,7,7,1,8,882,-5,142,13,733,0,7,8,1,9,891,-7,135,16,749,0,7,0,1,4,17,0,1,5,6,7,1,71,0,71,2,0,45,4,49,113,1,85,5,90,10,0,96,9,105,155,2,79,3,82,85,2,50,2,52,39,0,344,7,351,238,1
"시도별",울산,5,0,5,745,-4,217,8,498,1,30,4,0,4,749,-9,208,12,510,1,31,2,0,2,751,-13,195,15,525,0,31,1,2,4,17,0,0,9,9,8,0,2,1,3,5,0,1,3,4,3,0,24,6,30,10,0,53,5,58,74,1,8,8,16,16,0,26,9,35,13,0,461,15,476,273,24
"시도별",세종,0,0,0,154,-1,21,1,132,0,1,0,0,0,154,-1,20,1,133,0,1,1,0,1,155,1,21,0,133,0,1,0,0,0,26,0,0,1,1,9,0,2,1,3,0,0,0,0,0,3,0,13,4,17,2,0,3,6,9,15,0,3,3,6,11,0,16,2,18,6,0,45,4,49,44,1
"시도별",경기,260,8,268,15434,-35,3952,297,11190,6,292,214,16,230,15663,5,3957,221,11411,3,295,269,15,284,15947,148,4105,127,11538,9,304,47,33,200,315,9,138,26,164,164,4,314,53,367,281,4,171,168,339,396,8,1618,96,1714,579,9,1043,80,1123,1992,34,899,121,1020,790,15,1693,182,1875,1170,27,6967,206,7178,4677,147
"시도별",강원,28,0,28,1329,16,374,10,938,2,17,27,0,27,1356,1,375,26,964,0,17,16,0,16,1372,-24,351,40,1004,0,17,2,2,17,17,1,2,2,4,10,1,8,0,8,4,0,4,5,9,13,0,111,4,115,14,0,34,1,35,131,0,51,4,55,20,0,365,8,373,168,3,547,8,555,473,7
"시도별",충북,23,0,23,1271,2,567,21,676,0,28,32,0,32,1303,6,573,22,698,4,32,21,0,21,1324,-5,568,25,723,1,33,0,0,1,18,0,12,3,15,8,0,2,3,5,11,0,3,6,9,10,0,48,7,55,13,1,37,6,43,61,0,6,12,18,31,1,125,13,138,32,1,822,15,837,401,20
"시도별",충남,22,1,23,1707,2,472,20,1210,1,25,18,0,18,1725,-15,457,33,1243,0,25,23,1,24,1749,-20,437,44,1287,0,25,3,3,15,36,0,3,0,3,15,0,20,2,22,8,0,7,16,23,35,1,128,14,142,20,0,132,20,152,212,5,50,7,57,71,2,341,17,358,179,1,728,26,754,489,14
"시도별",전북,9,4,13,874,0,194,10,664,3,16,4,1,5,879,-20,174,23,687,2,18,22,0,22,901,4,178,15,702,3,21,0,1,5,4,0,2,1,3,8,0,4,2,6,2,0,3,9,12,12,0,42,6,48,8,0,29,12,41,65,0,30,8,38,43,0,158,10,168,24,2,479,24,503,458,9
"시도별",전남,3,0,3,592,-1,100,4,487,0,5,4,0,4,596,-2,98,5,492,1,6,1,0,1,597,-7,91,8,500,0,6,0,0,6,8,0,0,4,4,6,0,3,2,5,2,0,6,8,14,5,0,99,5,104,18,0,17,10,27,111,2,7,9,16,21,0,232,7,239,40,0,130,6,136,255,3
"시도별",경북,25,0,25,2507,-19,442,44,2003,0,62,24,0,24,2531,-18,424,42,2045,0,62,28,0,28,2559,-10,414,38,2083,0,62,44,1,65,325,13,11,3,14,148,2,2,8,10,33,0,3,9,12,11,0,45,9,54,17,0,79,17,96,85,2,23,13,36,73,1,101,16,117,46,0,702,18,720,314,4
"시도별",경남,33,0,33,1442,23,348,10,1089,0,5,21,0,21,1463,0,348,21,1110,0,5,26,3,29,1492,-4,344,33,1143,0,5,3,1,21,30,0,3,3,6,24,0,4,7,11,7,0,0,25,25,21,0,64,13,77,17,0,44,11,55,107,0,16,9,25,26,0,294,15,309,89,1,689,13,702,619,3
"시도별",제주,9,1,10,448,-1,161,11,287,0,0,8,0,8,456,-18,143,26,313,0,0,5,0,5,461,-18,125,23,336,0,0,0,1,4,5,0,1,1,2,5,0,0,4,4,3,0,5,2,7,5,0,18,1,19,5,0,10,4,14,29,0,0,0,0,4,0,18,3,21,1,0,333,5,338,138,0
"시도별",검역,0,11,11,2481,11,798,0,1681,0,2,0,16,16,2497,16,814,0,1681,0,2,0,6,6,2502,5,819,0,1681,0,2,0,108,229,173,0,0,88,88,246,0,0,190,190,121,0,0,462,462,346,0,0,168,168,381,0,0,157,157,118,0,0,268,268,82,0,0,439,439,151,0,0,321,321,62,2
"성별",남성,-,-,536,31423,-,-,-,-,8,491,-,-,356,31779,-,-,-,-,16,507,-,-,-,-,-,-,-,-,-,-,-,-,214,-,29,-,-,416,-,11,-,-,625,-,6,-,-,968,-,9,-,-,2562,-,12,-,-,1939,-,45,-,-,1320,-,30,-,-,3971,-,27,-,-,12276,-,158
"성별",여성,-,-,484,32841,-,-,-,-,11,490,-,-,359,33200,-,-,-,-,10,500,-,-,-,-,-,-,-,-,-,-,-,-,220,-,26,-,-,244,-,10,-,-,564,-,3,-,-,537,-,10,-,-,3080,-,11,-,-,1926,-,44,-,-,1253,-,18,-,-,3719,-,35,-,-,12190,-,182
"연령별",0-9세,-,-,40,2243,-,-,-,-,0,0,-,-,45,2288,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,14,-,0,-,-,16,-,0,-,-,31,-,0,-,-,53,-,0,-,-,196,-,0,-,-,136,-,0,-,-,112,-,0,-,-,301,-,0,-,-,1016,-,0
"연령별",10-19세,-,-,71,4027,-,-,-,-,0,0,-,-,44,4071,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,46,-,0,-,-,62,-,0,-,-,48,-,0,-,-,74,-,0,-,-,363,-,0,-,-,161,-,0,-,-,137,-,0,-,-,593,-,0,-,-,1589,-,0
"연령별",20-29세,-,-,120,10147,-,-,-,-,0,0,-,-,107,10254,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,133,-,0,-,-,214,-,0,-,-,171,-,0,-,-,258,-,0,-,-,700,-,0,-,-,442,-,0,-,-,387,-,0,-,-,1298,-,0,-,-,3010,-,0
"연령별",30-39세,-,-,127,8184,-,-,-,-,0,4,-,-,105,8289,-,-,-,-,0,4,-,-,-,-,-,-,-,-,-,-,-,-,66,-,1,-,-,124,-,0,-,-,188,-,0,-,-,313,-,0,-,-,682,-,0,-,-,417,-,0,-,-,363,-,0,-,-,1096,-,0,-,-,3087,-,2
"연령별",40-49세,-,-,172,9144,-,-,-,-,0,7,-,-,112,9256,-,-,-,-,0,7,-,-,-,-,-,-,-,-,-,-,-,-,45,-,1,-,-,91,-,0,-,-,137,-,0,-,-,249,-,0,-,-,762,-,1,-,-,486,-,0,-,-,373,-,0,-,-,1234,-,0,-,-,3551,-,3
"연령별",50-59세,-,-,187,12073,-,-,-,-,0,32,-,-,124,12197,-,-,-,-,0,32,-,-,-,-,-,-,-,-,-,-,-,-,47,-,2,-,-,72,-,0,-,-,213,-,0,-,-,234,-,1,-,-,1119,-,0,-,-,782,-,3,-,-,434,-,2,-,-,1347,-,3,-,-,4752,-,6
"연령별",60-69세,-,-,153,10186,-,-,-,-,1,116,-,-,108,10294,-,-,-,-,5,121,-,-,-,-,-,-,-,-,-,-,-,-,44,-,9,-,-,54,-,3,-,-,235,-,2,-,-,185,-,0,-,-,1115,-,1,-,-,814,-,2,-,-,395,-,9,-,-,1031,-,11,-,-,4032,-,40
"연령별",70-79세,-,-,69,5028,-,-,-,-,3,277,-,-,44,5072,-,-,-,-,7,284,-,-,-,-,-,-,-,-,-,-,-,-,20,-,17,-,-,15,-,6,-,-,110,-,2,-,-,97,-,8,-,-,517,-,7,-,-,442,-,39,-,-,199,-,15,-,-,506,-,17,-,-,1977,-,76
"연령별",80세 이상,-,-,81,3232,-,-,-,-,15,545,-,-,26,3258,-,-,-,-,14,559,-,-,-,-,-,-,-,-,-,-,-,-,19,-,25,-,-,12,-,12,-,-,56,-,5,-,-,42,-,10,-,-,188,-,14,-,-,185,-,45,-,-,173,-,22,-,-,284,-,31,-,-,1452,-,213
